Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Mean, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Max,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count,Init_Win_bytes_forward, Init_Win_bytes_backward, min_seg_size_forward, Label
172.217.10.227-10.42.0.42-443-37707-6,10.42.0.42,37707,172.217.10.227,443,6,14/07/2017 03:27:16,1083,4912,77.35714286,350.8571429,20011.28242,93.46387121,76466,0,0,0,1,0,0,65535,357,32,SMSMALWARE_NANDROBOX
172.217.6.206-10.42.0.151-443-51045-6,10.42.0.151,51045,172.217.6.206,443,6,5/8/2017 3:35,0,0,0,0,0,0.23542773,8495176,0,0,0,0,1,1,1470,-1,32,BENIGN
10.42.0.42-95.213.11.181-41572-80-6,10.42.0.42,41572,95.213.11.181,80,6,28/08/2017 09:42:14,0,0,0,0,0,0.075203348,53047045,0,0,0,1,0,0,65535,27960,32,RANSOMWARE_SVPENG
10.42.0.151-72.247.70.190-49893-80-6,72.247.70.190,80,10.42.0.151,49893,6,18/06/2017 04:41:27,0,0,0,0,0,1111.728738,1799,0,0,0,0,1,1,905,1369,32,BENIGN
192.229.173.173-10.42.0.42-443-48927-6,192.229.173.173,443,10.42.0.42,48927,6,20/06/2017 08:06:35,0,0,0,0,0,29.74095627,100799,0,0,0,0,1,1,298,8170,32,BENIGN
10.42.0.211-64.71.142.124-36616-443-6,10.42.0.211,36616,64.71.142.124,443,6,14/06/2017 11:30:07,908,12870,64.85714286,643.5,223.6240737,0.551837604,59988940,0,0,0,1,0,0,65535,33,20,ADWARE_DOWGIN
180.149.136.194-10.42.0.42-80-52628-6,10.42.0.42,52628,180.149.136.194,80,6,28/08/2017 04:07:10,0,0,0,0,0,7.755815892,257871,0,0,0,0,1,1,1386,125,20,RANSOMWARE_SVPENG
10.42.0.42-121.12.98.64-36071-80-6,10.42.0.42,36071,121.12.98.64,80,6,22/06/2017 07:50:06,372,8503,53.14285714,944.7777778,843.3524395,1.520410032,9994076,0,0,0,1,0,0,65535,511,20,BENIGN
198.11.188.78-10.42.0.151-443-42734-6,10.42.0.151,42734,198.11.188.78,443,6,14/06/2017 12:13:35,0,0,0,0,0,0.089035312,44697849,0,0,0,1,0,0,65535,12960,20,ADWARE_SHUANET
10.42.0.211-23.208.86.153-36274-443-6,10.42.0.211,36274,23.208.86.153,443,6,21/06/2017 03:16:00,5755,10732,338.5294118,564.8421053,6457.374163,14.09992539,351015,0,0,0,1,0,0,65535,1278,32,BENIGN
180.149.135.239-10.42.0.151-80-40548-6,10.42.0.151,40548,180.149.135.239,80,6,22/08/2017 10:32:15,0,0,0,0,0,1084.01084,1845,0,0,0,0,1,0,1411,-1,20,RANSOMWARE_WANNALOCKER
10.42.0.211-103.235.47.88-58800-80-6,10.42.0.211,58800,103.235.47.88,80,6,14/06/2017 09:20:05,0,0,0,0,0,0.082521977,24235968,0,0,0,0,1,0,1386,-1,20,ADWARE_DOWGIN
10.42.0.42-123.125.115.164-60112-443-6,10.42.0.42,60112,123.125.115.164,443,6,7/7/2017 1:32,1878,4508,187.8,346.7692308,963.4892493,3.4701304,4961710,0,0,0,1,0,0,65535,624,20,BENIGN
10.42.0.211-10.42.0.1-46892-53-17,10.42.0.211,46892,10.42.0.1,53,17,15/06/2017 05:34:18,28,141,28,141,193363.8444,2288.329519,874,0,0,0,0,0,0,-1,-1,40,ADWARE_YOUMI
180.76.156.19-10.42.0.151-80-39067-6,10.42.0.151,39067,180.76.156.19,80,6,14/06/2017 02:49:54,450,823,150,205.75,2272.629895,12.49678654,258553,0,0,0,1,0,0,65535,400,32,ADWARE_SHUANET
10.42.0.211-10.42.0.1-39718-53-17,10.42.0.211,39718,10.42.0.1,53,17,27/06/2017 08:25:45,37,158,37,158,704.4441394,7.225068096,276814,0,0,0,0,0,0,-1,-1,40,SCAREWARE_FAKEAPP
172.217.9.234-10.42.0.42-443-57253-6,10.42.0.42,57253,172.217.9.234,443,6,18/08/2017 01:32:20,0,0,0,0,0,16.563147,120750,0,0,0,0,1,1,202,-1,32,SMSMALWARE_ZSONE
10.42.0.211-23.194.142.7-42307-443-6,10.42.0.211,42307,23.194.142.7,443,6,9/8/2017 3:00,0,31,0,15.5,1329.331046,128.64494,23293,0,0,0,0,1,1,1595,972,32,BENIGN
10.42.0.1-10.42.0.42-53-9170-17,10.42.0.42,9170,10.42.0.1,53,17,29/08/2017 09:11:55,52,294,52,294,243661.9718,1408.450704,1420,0,0,0,0,0,0,-1,-1,32,RANSOMWARE_SVPENG
10.42.0.151-10.42.0.1-36902-53-17,10.42.0.151,36902,10.42.0.1,53,17,26/06/2017 03:15:46,32,64,32,64,1436.244221,29.92175461,66841,0,0,0,0,0,0,-1,-1,32,SCAREWARE_FAKEAPPAL
172.217.10.238-10.42.0.151-443-49582-6,172.217.10.238,443,10.42.0.151,49582,6,30/06/2017 12:10:03,0,0,0,0,0,18.92899733,105658,0,0,0,0,1,1,357,1724,32,SCAREWARE_PENETHO
10.42.0.1-10.42.0.42-53-9550-17,10.42.0.42,9550,10.42.0.1,53,17,8/8/2017 12:13,39,96,39,96,4295.395972,63.63549588,31429,0,0,0,0,0,0,-1,-1,32,BENIGN
140.205.250.8-10.42.0.211-443-58344-6,10.42.0.211,58344,140.205.250.8,443,6,30/08/2017 01:11:14,0,0,0,0,0,0.266169986,17484687,0,0,0,1,0,0,65535,12960,20,RANSOMWARE_PORNDROID
203.205.158.55-10.42.0.42-80-34886-6,203.205.158.55,80,10.42.0.42,34886,6,7/8/2017 5:33,0,0,0,0,0,68965.51724,29,0,0,0,0,1,0,453,-1,32,BENIGN
10.42.0.42-123.125.115.164-57831-443-6,10.42.0.42,57831,123.125.115.164,443,6,8/7/2017 5:20,0,0,0,0,0,0.371437014,5384493,0,0,0,0,1,1,1597,-1,20,BENIGN
182.22.120.250-10.42.0.151-443-59683-6,10.42.0.151,59683,182.22.120.250,443,6,16/06/2017 12:15:36,0,0,0,0,0,2.822207954,708665,0,0,0,0,1,1,1452,-1,32,ADWARE_GOOLIGAN
10.42.0.211-121.12.98.62-53123-80-6,10.42.0.211,53123,121.12.98.62,80,6,13/06/2017 02:22:53,0,0,0,0,0,0.090426898,22117313,0,0,0,0,1,1,1460,-1,20,ADWARE_KEMOGE
10.42.0.151-10.42.0.1-48328-53-17,10.42.0.151,48328,10.42.0.1,53,17,26/06/2017 02:53:13,37,53,37,53,1869.857891,41.55239757,48132,0,0,0,0,0,0,-1,-1,32,SCAREWARE_FAKEAPPAL
10.42.0.1-10.42.0.42-53-29793-17,10.42.0.42,29793,10.42.0.1,53,17,5/7/2017 12:05,35,51,35,51,873.3801844,20.31116708,98468,0,0,0,0,0,0,-1,-1,20,BENIGN
10.42.0.42-119.146.74.48-50503-80-6,10.42.0.42,50503,119.146.74.48,80,6,21/06/2017 11:20:36,0,0,0,0,0,0.08651505,23117365,0,0,0,0,1,1,3810,-1,20,BENIGN
10.42.0.151-10.42.0.1-62295-53-17,10.42.0.151,62295,10.42.0.1,53,17,29/08/2017 10:39:32,29,61,29,61,3525.816814,78.35148476,25526,0,0,0,0,0,0,-1,-1,20,RANSOMWARE_RANSOMBO
10.42.0.1-10.42.0.42-53-25719-17,10.42.0.42,25719,10.42.0.1,53,17,4/7/2017 2:09,31,47,31,47,2495.680553,63.99180905,31254,0,0,0,0,0,0,-1,-1,32,BENIGN
10.42.0.211-106.11.129.143-37072-80-6,10.42.0.211,37072,106.11.129.143,80,6,6/8/2017 1:18,0,0,0,0,0,511.9017149,3907,0,0,0,0,1,0,65535,-1,20,BENIGN
220.243.219.55-10.42.0.211-80-43500-6,10.42.0.211,43500,220.243.219.55,80,6,6/7/2017 7:30,0,0,0,0,0,0.361187056,5537297,0,0,0,0,1,0,1506,-1,20,BENIGN
10.42.0.211-10.42.0.1-41404-53-17,10.42.0.211,41404,10.42.0.1,53,17,22/06/2017 09:56:39,31,91,31,91,207.4547681,3.400897837,588080,0,0,0,0,0,0,-1,-1,32,BENIGN
183.136.237.235-10.42.0.151-80-43277-6,10.42.0.151,43277,183.136.237.235,80,6,23/06/2017 02:10:59,0,0,0,0,0,636.3347121,3143,0,0,0,0,1,0,1386,-1,20,BENIGN
198.105.244.11-10.42.0.42-80-57369-6,10.42.0.42,57369,198.105.244.11,80,6,6/8/2017 3:21,0,0,0,0,0,8.360400129,239223,0,0,0,0,1,1,65535,-1,20,BENIGN
219.142.78.162-10.42.0.211-80-46022-6,10.42.0.211,46022,219.142.78.162,80,6,29/06/2017 11:29:58,693,317,231,105.6666667,1940.811028,11.52957047,257409,0,0,0,1,0,0,65535,125,20,SCAREWARE_FAKEJOBOFFER
183.79.248.124-10.42.0.211-443-47298-6,10.42.0.211,47298,183.79.248.124,443,6,28/06/2017 12:10:08,1264,1019,158,113.2222222,132.2991553,0.985144827,10805949,0,0,0,1,0,0,65535,32,32,SCAREWARE_FAKEJOBOFFER
139.162.2.104-10.42.0.211-80-36498-6,10.42.0.211,36498,139.162.2.104,80,6,15/06/2017 02:48:49,660,475,220,158.3333333,2142.851749,11.32785065,262128,0,0,0,1,0,0,65535,30360,20,ADWARE_GOOLIGAN
10.42.0.211-10.42.0.1-42390-53-17,10.42.0.211,42390,10.42.0.1,53,17,14/06/2017 02:10:24,43,88,43,88,1612.526004,24.61871761,81239,0,0,0,0,0,0,-1,-1,32,ADWARE_KOODOUS
10.42.0.151-23.208.31.187-57915-80-6,10.42.0.151,57915,23.208.31.187,80,6,28/06/2017 04:07:54,0,0,0,0,0,84.52013692,23663,0,0,0,0,1,1,1460,939,32,SMSMALWARE_BIIGE
198.11.188.80-10.42.0.151-443-38999-6,10.42.0.151,38999,198.11.188.80,443,6,16/06/2017 12:15:39,330,4645,30,516.1111111,82.11445633,0.330108367,59375026,0,0,0,1,0,0,65535,11350,20,ADWARE_GOOLIGAN
10.42.0.151-119.146.74.33-56962-443-6,10.42.0.151,56962,119.146.74.33,443,6,29/08/2017 09:24:25,0,0,0,0,0,0.137491933,21781908,0,0,0,0,1,0,1662,-1,20,RANSOMWARE_RANSOMBO
10.42.0.151-47.88.68.22-58913-443-6,10.42.0.151,58913,47.88.68.22,443,6,22/06/2017 09:36:02,748,3652,57.53846154,280.9230769,48.62604029,0.287335693,89999245,0,0,0,1,0,0,65535,0,20,BENIGN
172.217.11.10-10.42.0.42-443-42014-6,10.42.0.42,42014,172.217.11.10,443,6,5/8/2017 12:32,4258,10141,327.5384615,596.5294118,11769.61985,24.52174425,695982,0,0,0,1,0,0,65535,426,32,BENIGN
10.42.0.211-103.235.46.212-36642-443-6,10.42.0.211,36642,103.235.46.212,443,6,28/06/2017 09:52:11,0,0,0,0,0,0.104000639,19230651,0,0,0,0,1,1,3481,-1,20,SMSMALWARE_BIIGE
10.42.0.211-10.42.0.1-31309-53-17,10.42.0.211,31309,10.42.0.1,53,17,11/7/2017 4:56,37,182,37,182,4338.9535,39.62514612,50473,0,0,0,0,0,0,-1,-1,40,SMSMALWARE_PLANKTON
10.42.0.42-106.39.169.66-42126-80-6,106.39.169.66,80,10.42.0.42,42126,6,1/7/2017 4:39,106,0,106,0,50094.51796,945.1795841,2116,0,0,0,0,1,1,115,0,20,BENIGN
151.101.21.140-10.42.0.211-443-38673-6,10.42.0.211,38673,151.101.21.140,443,6,14/06/2017 10:04:37,0,31,0,15.5,1294.741678,125.2975818,23885,0,0,0,0,1,1,1641,64,32,ADWARE_DOWGIN
10.42.0.1-10.42.0.42-53-30311-17,10.42.0.42,30311,10.42.0.1,53,17,17/07/2017 01:44:55,49,155,49,155,2223.312081,21.79717727,91755,0,0,0,0,0,0,-1,-1,44,SMSMALWARE_NANDROBOX
172.217.9.234-10.42.0.211-443-40847-6,10.42.0.211,40847,172.217.9.234,443,6,25/08/2017 05:03:10,62,0,31,0,30.92955793,0.997727675,2004555,0,1,0,0,1,1,1593,-1,32,RANSOMWARE_LOCKERPIN
182.22.25.124-10.42.0.211-443-59556-6,10.42.0.211,59556,182.22.25.124,443,6,13/06/2017 07:20:21,1264,1019,158,113.2222222,123.205167,0.917427875,10626704,0,0,0,1,0,0,65535,32,32,ADWARE_KEMOGE
172.217.12.138-10.42.0.42-443-45735-6,10.42.0.42,45735,172.217.12.138,443,6,28/08/2017 01:41:44,62,0,31,0,121.6029624,3.922676207,509856,0,1,0,0,1,1,1457,-1,32,RANSOMWARE_SVPENG
10.42.0.151-104.73.50.12-43637-443-6,10.42.0.151,43637,104.73.50.12,443,6,22/06/2017 11:08:14,0,0,0,0,0,61.85822096,32332,0,0,0,0,1,0,1641,-1,32,BENIGN
10.42.0.42-104.192.108.27-56888-80-6,10.42.0.42,56888,104.192.108.27,80,6,2/7/2017 1:42,0,0,0,0,0,0.855128419,2338830,0,0,0,0,1,1,1460,-1,32,BENIGN
10.42.0.211-104.254.66.16-55998-443-6,10.42.0.211,55998,104.254.66.16,443,6,29/06/2017 12:11:56,31,0,31,0,3875000,250000,8,0,1,0,0,1,0,37,37,20,SCAREWARE_FAKEJOBOFFER
198.11.188.80-10.42.0.211-443-36813-6,10.42.0.211,36813,198.11.188.80,443,6,5/7/2017 6:01,0,0,0,0,0,7.998976131,250032,0,0,0,0,1,1,65535,10110,20,BENIGN
10.42.0.211-10.42.0.1-40870-53-17,10.42.0.211,40870,10.42.0.1,53,17,12/7/2017 12:55,44,84,44,84,77953.71498,1218.026797,1642,0,0,0,0,0,0,-1,-1,44,SMSMALWARE_SMSSNIFFER
10.42.0.211-104.31.2.155-38603-80-6,10.42.0.211,38603,104.31.2.155,80,6,26/06/2017 11:44:37,433,424,72.16666667,106,1268.096642,14.79692697,522225,0,0,0,1,0,0,65535,30,20,SCAREWARE_ANDROIDDEFENDER
202.77.129.150-10.42.0.211-80-49341-6,10.42.0.211,49341,202.77.129.150,80,6,30/06/2017 11:29:37,0,0,0,0,0,2484.47205,805,0,0,0,0,1,0,1397,-1,20,SMSMALWARE_BEANBOT
10.42.0.151-47.88.66.107-41696-80-6,10.42.0.151,41696,47.88.66.107,80,6,28/08/2017 02:53:44,0,0,0,0,0,2.100385841,952206,0,0,0,0,1,1,1386,-1,20,RANSOMWARE_SIMPLOCKER
203.205.158.52-10.42.0.151-80-56508-6,10.42.0.151,56508,203.205.158.52,80,6,6/7/2017 5:46,393,9636,35.72727273,876,338.8580588,0.743332066,29016933,0,0,0,1,0,0,65535,122,32,BENIGN
10.42.0.211-36.51.254.232-56312-443-6,10.42.0.211,56312,36.51.254.232,443,6,4/8/2017 4:55,1581,24077,131.75,1046.826087,959.9716012,1.30949435,24741041,0,0,0,1,0,0,65535,148,20,BENIGN
10.42.0.211-74.119.118.71-49067-443-6,10.42.0.211,49067,74.119.118.71,443,6,28/06/2017 09:48:56,586,4026,83.71428571,575.1428571,383.3467585,1.16367186,11900447,0,0,0,1,0,0,65535,4966,32,SCAREWARE_FAKEAPP
180.76.135.16-10.42.0.42-80-49809-6,10.42.0.42,49809,180.76.135.16,80,6,23/06/2017 04:12:24,0,0,0,0,0,394.9447077,5064,0,0,0,0,1,0,1390,-1,32,SCAREWARE_AVPASS
10.42.0.211-10.42.0.1-64976-53-17,10.42.0.211,64976,10.42.0.1,53,17,30/08/2017 02:16:40,34,126,34,126,264.4580016,3.30572502,605011,0,0,0,0,0,0,-1,-1,40,RANSOMWARE_PORNDROID
172.217.7.8-10.42.0.151-443-53863-6,10.42.0.151,53863,172.217.7.8,443,6,10/7/2017 7:47,1440,555,205.7142857,92.5,4455.511881,29.03341076,85335,0,0,0,1,0,0,65535,362,32,SMSMALWARE_FAKEMART
10.42.0.151-10.42.0.1-34523-53-17,10.42.0.151,34523,10.42.0.1,53,17,18/06/2017 01:54:23,28,127,28,127,1620.864182,20.91437654,95628,0,0,0,0,0,0,-1,-1,20,BENIGN
137.175.31.97-10.42.0.211-80-35772-6,10.42.0.211,35772,137.175.31.97,80,6,15/06/2017 04:42:45,0,0,0,0,0,58.87432295,32620,0,0,0,0,1,0,1386,-1,32,ADWARE_GOOLIGAN
180.149.153.68-10.42.0.211-80-58928-6,10.42.0.211,58928,180.149.153.68,80,6,8/8/2017 1:54,448,1420,112,355,178.0769878,0.762642346,9991343,0,0,0,1,0,0,65535,122,32,BENIGN
10.42.0.151-88.99.199.95-51978-443-6,10.42.0.151,51978,88.99.199.95,443,6,14/06/2017 12:57:18,4948,3506,329.8666667,350.6,911.110668,2.694318276,7496561,0,0,0,1,0,0,65535,311,32,ADWARE_EWIND
172.217.10.238-10.42.0.151-443-56600-6,10.42.0.151,56600,172.217.10.238,443,6,5/8/2017 1:11,1014,5553,101.4,793.2857143,76.96111981,0.199229334,84989848,0,0,0,1,0,0,65535,352,32,BENIGN
222.73.28.96-10.42.0.42-80-47431-6,10.42.0.42,47431,222.73.28.96,80,6,14/08/2017 11:10:34,0,0,0,0,0,103.0856986,27579,0,0,0,0,1,0,1415,-1,20,SMSMALWARE_MAZARBOT
192.229.173.173-10.42.0.42-80-49798-6,10.42.0.42,49798,192.229.173.173,80,6,30/06/2017 01:23:08,416,18404,59.42857143,1226.933333,266443.9222,311.4647337,27419,0,0,0,1,0,0,65535,285,32,SCAREWARE_FAKETAOBAO
10.42.0.211-10.42.0.1-41807-53-17,10.42.0.211,41807,10.42.0.1,53,17,26/06/2017 01:19:33,31,106,31,106,3668.201778,53.55039092,37348,0,0,0,0,0,0,-1,-1,32,SCAREWARE_ANDROIDDEFENDER
180.149.134.221-10.42.0.211-80-40313-6,10.42.0.211,40313,180.149.134.221,80,6,11/7/2017 3:58,0,0,0,0,0,0.475995658,4201719,0,0,0,0,1,0,1386,-1,20,SMSMALWARE_PLANKTON
10.42.0.42-13.107.3.128-38551-443-6,10.42.0.42,38551,13.107.3.128,443,6,28/06/2017 12:27:42,3777,5804,269.7857143,446.4615385,132.0234138,0.372052205,68081709,0,0,0,1,0,0,65535,1029,32,SMSMALWARE_BIIGE
172.217.12.174-10.42.0.42-443-48049-6,10.42.0.42,48049,172.217.12.174,443,6,2/7/2017 5:10,1138,1324,126.4444444,120.3636364,44.07448689,0.358038074,55245226,0,0,0,1,0,0,65535,362,32,BENIGN
180.149.153.234-10.42.0.42-80-36319-6,10.42.0.42,36319,180.149.153.234,80,6,28/06/2017 12:14:19,700,1003,233.3333333,250.75,706.5859369,2.904346188,1895932,0,0,0,1,0,0,65535,125,20,SMSMALWARE_BIIGE
219.142.78.162-10.42.0.151-443-46801-6,10.42.0.151,46801,219.142.78.162,443,6,14/06/2017 03:25:54,5715,9122,285.75,651.5714286,417.5601065,0.956867535,24998217,0,0,0,1,0,0,65535,213,20,ADWARE_SHUANET
10.42.0.211-10.42.0.1-2593-53-17,10.42.0.211,2593,10.42.0.1,53,17,16/06/2017 10:52:04,43,80,43,80,675.6088719,10.98551011,182058,0,0,0,0,0,0,-1,-1,32,BENIGN
172.217.11.8-10.42.0.211-443-49068-6,10.42.0.211,49068,172.217.11.8,443,6,26/06/2017 11:59:36,0,0,0,0,0,39.64740243,62808,0,0,0,0,1,1,357,-1,32,SCAREWARE_ANDROIDDEFENDER
10.42.0.211-31.13.71.52-42382-80-6,10.42.0.211,42382,31.13.71.52,80,6,11/7/2017 9:26,372,196,93,65.33333333,8258.454738,101.7767309,30164,0,0,0,1,0,0,65535,114,32,SMSMALWARE_PLANKTON
172.217.12.206-10.42.0.42-443-58638-6,10.42.0.42,58638,172.217.12.206,443,6,7/7/2017 4:58,1576,5957,87.55555556,372.3125,28740.49995,129.7195007,80109,0,0,0,1,0,0,65535,361,32,BENIGN
10.42.0.151-23.194.181.192-51648-443-6,10.42.0.151,51648,23.194.181.192,443,6,21/07/2017 12:46:35,0,0,0,0,0,470.8097928,4248,0,0,0,0,1,0,1369,939,32,BENIGN
10.42.0.211-72.247.70.190-60918-80-6,10.42.0.211,60918,72.247.70.190,80,6,8/7/2017 6:56,0,0,0,0,0,82.39268353,24274,0,0,0,0,1,1,1505,939,32,BENIGN
10.42.0.42-52.94.232.33-38540-443-6,10.42.0.42,38540,52.94.232.33,443,6,29/06/2017 12:46:16,0,0,0,0,0,0.134241107,22315550,0,0,0,0,1,0,1689,-1,20,SCAREWARE_FAKETAOBAO
10.42.0.211-106.39.169.66-60935-443-6,10.42.0.211,60935,106.39.169.66,443,6,15/06/2017 12:39:19,0,0,0,0,0,1893.939394,1056,0,0,0,0,1,0,1552,-1,20,ADWARE_YOUMI
